SAMPLE				!Title
298.15	0.1112	0.000914 	!T (K), volume fraction, solvent visc. (Pa.s)
Y	N			!Data format (w, G' ,G"), only mechanical data?
N	N	N		!Create output file for Gf(t), G(w), G(w)+Rouse?
N	Y	N		!Output bending/Rouse modes, iterate?, 1 mode?
Y    	70			!Fit lp?, initial guess or fixed value
14.81   1.0	4.0		!Zero shear viscosity (Pa.s), initial guess for micelle length (L) in micron, and diameter (d) in nm
1500	20			!Size of micelle ensemble, number of iterations
N       0.40    1.0          	!Set parameter values?, zeta, alpha
19.498446	0.210073161	0.786895474
19.95262315	0.217369372	0.801797756
20.41737945	0.224849947	0.816924063
20.89296131	0.232521727	0.832275958
21.3796209	0.240397548	0.847851669
21.87761624	0.248491477	0.863648978
22.38721139	0.256818931	0.879665183
22.90867653	0.265396795	0.895897063
23.44228815	0.274243555	0.912340838
23.98832919	0.283379435	0.928992123
24.54708916	0.292826559	0.945845888
25.11886432	0.302609107	0.962896407
25.70395783	0.31274889	0.980140414
26.30267992	0.323250401	0.997587588
26.91534804	0.334112407	1.015252566
27.54228703	0.345332079	1.033152174
28.18382931	0.356904799	1.051305658
28.84031503	0.368823952	1.069734945
29.51209227	0.381080699	1.088464921
30.1995172	0.396192102	1.110110767
30.90295433	0.411690254	1.131927617
31.6227766	0.427583649	1.153971858
32.35936569	0.443884334	1.176296863
33.11311215	0.460627027	1.19894127
33.88441561	0.477850034	1.221936939
34.67368505	0.495589173	1.245312265
35.48133892	0.513876959	1.269091472
36.30780548	0.532740336	1.29329112
37.15352291	0.552201729	1.3179218
38.01893963	0.572275408	1.342983459
38.9045145	0.592968935	1.368467085
39.81071706	0.614283525	1.39435535
40.73802778	0.636225168	1.420639414
41.68693835	0.658749948	1.44725435
42.65795188	0.681803185	1.474123691
43.65158322	0.705326234	1.501166312
44.66835922	0.729258782	1.528299175
45.70881896	0.75354083	1.555439917
46.77351413	0.778106424	1.5824987
47.86300923	0.802891769	1.60938897
48.97788194	0.827833493	1.636023895
50.11872336	0.852865149	1.662313804
51.2861384	0.877946527	1.688198396
52.48074602	0.903131198	1.71372267
53.70317964	0.928487077	1.738947672
54.95408739	0.954096436	1.763951808
56.23413252	0.980032609	1.788802518
57.54399373	1.006374591	1.813574569
58.88436554	1.033199839	1.838341228
60.25595861	1.060581009	1.863171217
61.65950019	1.088588521	1.888130756
63.09573445	1.117294094	1.913289099
64.5654229	1.146733469	1.938684737
66.0693448	1.176874054	1.964317622
67.60829754	1.207659404	1.990167521
69.18309709	1.239043524	2.016220098
70.79457844	1.270951234	2.042421582
72.44359601	1.303349584	2.068758392
74.13102413	1.336180594	2.095177699
75.8577575	1.369397089	2.121627163
77.62471166	1.402964778	2.148053206
79.43282347	1.436844955	2.174380511
81.28305162	1.471011933	2.200514223
83.17637711	1.505485742	2.226344382
85.11380382	1.540260035	2.251714445
87.096359	1.57535532	2.276498575
89.12509381	1.610797104	2.300577366
91.20108394	1.646586181	2.323807571
93.32543008	1.682759814	2.346090637
95.4992586	1.719335749	2.367314681
97.7237221	1.756348021	2.387393479
100	1.79381432	2.406238053
102.3292992	1.825828541	2.434387504
104.7128548	1.858177134	2.462803358
107.1519305	1.89084698	2.491470784
109.6478196	1.923860019	2.520412378
112.2018454	1.957218096	2.54962909
114.8153621	1.990918146	2.579117186
117.4897555	2.024965944	2.60888085
120.2264435	2.059371854	2.638930998
123.0268771	2.094128513	2.669258869
125.8925412	2.129247686	2.699875519
128.8249552	2.16472856	2.730779303
131.8256739	2.200579615	2.761978231
134.8962883	2.236806712	2.793477625
138.0384265	2.27340384	2.825269969
141.2537545	2.310386174	2.857370871
144.5439771	2.347744964	2.889769266
147.9108388	2.385506114	2.922492216
151.3561248	2.423641111	2.955508922
154.8816619	2.462183782	2.988853564
158.4893192	2.501130633	3.022521968
162.1810097	2.540472032	3.056503474
165.9586907	2.580222367	3.090812146
169.8243652	2.620391694	3.125457769
173.7800829	2.660972189	3.160431727
177.827941	2.701982633	3.195752636
181.9700859	2.743401637	3.231398728
186.2087137	2.785260221	3.267400551
190.5460718	2.827558088	3.303757935
194.98446	2.870276239	3.340451505
199.5262315	2.913451788	3.377518309
204.1737945	2.957062046	3.414935778
208.9296131	3.001134107	3.452730795
213.796209	3.045643994	3.49088007
218.7761624	3.090628667	3.529420158
223.8721139	3.136062894	3.568326696
229.0867653	3.181962826	3.607616156
234.4228815	3.228343501	3.647303967
239.8832919	3.275189008	3.68737517
245.4708916	3.322527791	3.727858513
251.1886432	3.370332581	3.768728318
257.0395783	3.41863486	3.810016418
263.0267992	3.467426791	3.851716467
269.1534804	3.516705504	3.893826963
275.4228703	3.566495263	3.936373316
281.8382931	3.616782288	3.979343537
288.4031503	3.667588906	4.022761079
295.1209227	3.718893353	4.066607072
301.995172	3.770717896	4.110905066
309.0295433	3.823053076	4.155648654
316.227766	3.875935404	4.200874667
323.5936569	3.929331334	4.246554332
331.1311215	3.983264572	4.292713173
338.8441561	4.037727828	4.339346992
346.7368505	4.092738455	4.386475812
354.8133892	4.148291395	4.434098293
363.0780548	4.204402507	4.48223345
371.5352291	4.261045287	4.530859371
380.1893963	4.318252414	4.580011878
389.045145	4.376044487	4.629714824
398.1071706	4.434379165	4.679932132
407.3802778	4.493283652	4.730695038
416.8693835	4.55276662	4.782016081
426.5795188	4.612828856	4.833902441
436.5158322	4.673458436	4.886347458
446.6835922	4.734693412	4.939393304
457.0881896	4.796511528	4.99302496
467.7351413	4.858915226	5.047251207
478.6300923	4.921925842	5.102099045
489.7788194	4.985523806	5.157556409
501.1872336	5.049738896	5.213659337
512.861384	5.114565768	5.270409844
524.8074602	5.17999758	5.327809652
537.0317964	5.246052657	5.385884186
549.5408739	5.312724287	5.444635512
562.3413252	5.380033503	5.504092231
575.4399373	5.447954681	5.564239863
588.8436554	5.516503653	5.625102035
602.5595861	5.58571299	5.686720434
616.5950019	5.655554459	5.749077516
630.9573445	5.72601993	5.812177139
645.654229	5.797172671	5.876089817
660.693448	5.868944985	5.940762861
676.0829754	5.941403011	6.006270769
691.8309709	6.014490871	6.072572471
707.9457844	6.088252464	6.139722523
724.4359601	6.162689605	6.207735525
741.3102413	6.237802548	6.276625272
758.577575	6.313575343	6.34639068
776.2471166	6.390041363	6.417077308
794.3282347	6.467182011	6.488682778
812.8305162	6.545012024	6.561236056
831.7637711	6.623538389	6.634759879
851.1380382	6.702755796	6.709265332
870.96359	6.782681483	6.784785794
891.2509381	6.863283106	6.861306857
912.0108394	6.944619449	6.938903432
933.2543008	7.026657243	7.017561713
954.992586	7.109399441	7.097303154
977.237221	7.192862062	7.178162858
1000	7.277061977	7.260177182
1023.292992	7.361949091	7.343317309
1047.128548	7.447620658	7.427700344
1071.519305	7.53398592	7.513258408
1096.478196	7.621088061	7.600056338
1122.018454	7.708951873	7.688141773
1148.153621	7.797534317	7.777495552
1174.897555	7.886875003	7.868180994
1202.264435	7.976960673	7.960210323
1230.268771	8.067814257	8.053631659
1258.925412	8.159418426	8.14845387
1288.249552	8.25177343	8.244704411
1318.256739	8.344878545	8.342409844
1348.962883	8.438817352	8.441684483
1380.384265	8.533458864	8.542422748
1412.537545	8.628906663	8.64476122
1445.439771	8.725127198	8.748696376
1479.108388	8.822124214	8.854263178
1513.561248	8.919896265	8.96149241
1548.816619	9.018488735	9.070465365
1584.893192	9.117828288	9.181138329
1621.810097	9.217991358	9.293627385
1659.586907	9.318961663	9.40795117
1698.243652	9.420699134	9.524103258
1737.800829	9.523258536	9.642180241
1778.27941	9.626621695	9.762201435
1819.700859	9.730794352	9.884212455
1862.087137	9.835753577	10.00822862
1905.460718	9.941567517	10.13436639
1949.8446	10.04815549	10.26258
1995.262315	10.15559811	10.3930018
2041.737945	10.26381784	10.52559065
2089.296131	10.37288509	10.66047109
2137.96209	10.48280273	10.79769362
2187.761624	10.59350439	10.93723169
2238.721139	10.7050442	11.07919557
2290.867653	10.81742722	11.22364227
2344.228815	10.93063039	11.37059732
2398.832919	11.04467043	11.52013263
2454.708916	11.15953677	11.6722908
2511.886432	11.27524421	11.82714494
2570.395783	11.39178694	11.98474517
2630.267992	11.50917059	12.14515748
2691.534804	11.62735797	12.30839593
2754.228703	11.74643095	12.47462186
2818.382931	11.8663313	12.64382763
2884.031503	11.98704109	12.81605555
2951.209227	12.10859776	12.99141718
3019.95172	12.23101082	13.16999256
3090.295433	12.35424007	13.35180094
3162.27766	12.47831147	13.53694541
3235.936569	12.60321499	13.72548629
3311.311215	12.72895518	13.91750405
3388.441561	12.85550952	14.11304483
3467.368505	12.98292786	14.31225298
3548.133892	13.11114531	14.51512227
3630.780548	13.24021221	14.7218019
3715.352291	13.37005166	14.93227276
3801.893963	13.50077047	15.14676374
3890.45145	13.63224021	15.36518987
3981.071706	13.76457939	15.58780115
4073.802778	13.89771623	15.81459322
4168.693835	14.03165145	16.04565994
4265.795188	14.16636251	16.28106679
4365.158322	14.30191014	16.52099787
4466.835922	14.43819373	16.76541136
4570.881896	14.57529605	17.01452953
4677.351413	14.71320254	17.26843725
4786.300923	14.85183798	17.52713456
4897.788194	14.99125417	17.79080681
5011.872336	15.13139926	18.05949117
5128.61384	15.27234629	18.33341326
5248.074602	15.41400398	18.61255452
5370.317964	15.55641982	18.89710896
5495.408739	15.69954539	19.18712687
5623.413252	15.84337971	19.48273309
5754.399373	15.98792696	19.78406486
5888.436554	16.13318426	20.09125079
6025.595861	16.27914567	20.40441823
6165.950019	16.42576689	20.72363498
6309.573445	16.57306359	21.04906873
6456.54229	16.72098117	21.38077472
6606.93448	16.86960495	21.71904453
6760.829754	17.01878279	22.06377337
6918.309709	17.16866874	22.41537974
7079.457844	17.31911356	22.77376555
7244.359601	17.47018408	23.13921088
7413.102413	17.62177977	23.51170195
7585.77575	17.77403733	23.89165334
7762.471166	17.92678504	24.27892993
7943.282347	18.08005949	24.67377271
8128.305162	18.23392561	25.07648177
8317.637711	18.38825585	25.48700581
8511.380382	18.54310935	25.90564036
8709.6359	18.69843036	26.33247404
8912.509381	18.85425549	26.76777097
9120.108394	19.01048575	27.21153679
9332.543008	19.16715496	27.66404161
9549.92586	19.32432448	28.12561216
9772.37221	19.48177523	28.59601947
10000	19.63971946	29.07590804
10232.92992	19.79805681	29.56528921
10471.28548	19.95666175	30.0641237
10715.19305	20.11572952	30.5730459
10964.78196	20.2750289	31.09179454
11220.18454	20.43473399	31.62097237
11481.53621	20.59466975	32.1604357
11748.97555	20.75498636	32.71075222
12022.64435	20.91546892	33.27168792
12302.68771	21.07633173	33.84396333
12589.25412	21.23740891	34.42745642
12882.49552	21.3987326	35.02248797
13182.56739	21.56028681	35.62927148
13489.62883	21.72210576	36.24814607
13803.84265	21.88412324	36.87921071
14125.37545	22.04636511	37.52278406
14454.39771	22.2088388	38.17914759
14791.08388	22.37147948	38.84840458
15135.61248	22.53436542	39.53100686
15488.16619	22.69750281	40.22724094
15848.93192	22.86073781	40.93697273
16218.10097	23.0243594	41.66121463
16595.86907	23.18805948	42.39941881
16982.43652	23.3520736	43.15247151
17378.00829	23.51631549	43.92040189
17782.7941	23.68087225	44.70369822
18197.00859	23.84565309	45.50236752
18620.87137	24.01079148	46.31702138
19054.60718	24.17622395	47.14773256
19498.446	24.34209529	47.99514002
19952.62315	24.50831142	48.85921049
20417.37945	24.67501115	49.74056761
20892.96131	24.84217096	50.63934991
21379.6209	25.00994841	51.55623661
21877.61624	25.17824603	52.49111397
22387.21139	25.3471951	53.44456243
22908.67653	25.51700329	54.41739065
23442.28815	25.68743738	55.40900376
23988.32919	25.85890548	56.42082509
24547.08916	26.03136617	57.45283263
25118.86432	26.20483402	58.50514856
25703.95783	26.37953827	59.57858505
26302.67992	26.55548517	60.67319371
26915.34804	26.73301315	61.79011459
27542.28703	26.91200657	62.92892276
28183.82931	27.09278924	64.09066279
28840.31503	27.27542324	65.27544465
29512.09227	27.46021135	66.48420001
30199.5172	27.64715986	67.71674001
30902.95433	27.83658652	68.97397526
31622.7766	28.02877987	70.25666135
32359.36569	28.22380262	71.56467452
33113.11215	28.42198938	72.8988534
33884.41561	28.62364017	74.25983791
34673.68505	28.82896105	75.64785462
35481.33892	29.03843425	77.0641329
36307.80548	29.25209765	78.50812794
37153.52291	29.47054533	79.98132834
38018.93963	29.69403804	81.48389453
38904.5145	29.92300316	83.01651892
39810.71706	30.15788023	84.57991092
